"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,9/30/2019 0:00:00,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1190.00,1190.00,0.00,1190.00,0.00,1190.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,146.00
5,9/30/2019 0:00:00,6,0.00,0.00,0.00,0.00,0.00,0.00,190720.00,190720.00,0.00,0.00,0.00,0.00,1983668.00,0.00,1983668.00,0.00,0.00,0.00,18903.00,0.00,18903.00,0.00,0.00,0.00,45692.00,45692.00,0.00,185709.00,0.00,185709.00,0.00,0.00,0.00,3011040.00,3011040.00,0.00,650943.00,0.00,650943.00,3.00,4.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,3.00,4.00,7.00,0.00,0.00,0.00,2.00,0.00,7.00,152.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,108.00
6,9/30/2019 0:00:00,7,0.00,0.00,0.00,0.00,0.00,0.00,1162876.00,1162876.00,0.00,251598.00,251598.00,0.00,20596132.00,0.00,20596132.00,0.00,0.00,0.00,237.00,0.00,237.00,0.00,0.00,0.00,789183.00,789183.00,0.00,20527.00,0.00,20527.00,3791725.00,0.00,3791725.00,25884660.00,25884660.00,0.00,61802.00,0.00,61802.00,7.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,3.00,1.00,4.00,3.00,1.00,0.00,0.00,4.00,9.00,196.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,487.00
12,9/30/2019 0:00:00,11,0.00,0.00,0.00,0.00,0.00,0.00,201676.00,201676.00,0.00,0.00,0.00,0.00,2874812.00,0.00,2874812.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414001.00,0.00,414001.00,148976.00,0.00,148976.00,3669799.00,3669799.00,0.00,30334.00,0.00,30334.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,133.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00
13,9/30/2019 0:00:00,12,0.00,0.00,0.00,0.00,0.00,0.00,18277708.00,18277708.00,0.00,1565142.00,1565142.00,0.00,29547904.00,0.00,29547904.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,13220243.00,0.00,13220243.00,62749540.00,62749540.00,0.00,138543.00,0.00,138543.00,4.00,3.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,3.00,3.00,6.00,1.00,0.00,0.00,0.00,1.00,7.00,854.00,543.00,0.00,0.00,0.00,0.00,0.00,0.00,1133.00
16,9/30/2019 0:00:00,14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429177.00,0.00,429177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40571.00,0.00,40571.00,0.00,0.00,0.00,469748.00,469748.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,9/30/2019 0:00:00,16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
22,9/30/2019 0:00:00,17,0.00,0.00,0.00,0.00,0.00,0.00,24192175.00,24192175.00,0.00,0.00,0.00,0.00,35355192.00,0.00,35355192.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,412436.00,0.00,412436.00,35096.00,0.00,35096.00,60037897.00,60037897.00,0.00,42998.00,0.00,42998.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,1673.00,0.00,0.00,0.00,0.00,0.00,0.00,168.00
26,9/30/2019 0:00:00,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314716.00,314716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314716.00,0.00,314716.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00
28,9/30/2019 0:00:00,21,0.00,0.00,0.00,0.00,0.00,0.00,18369960.00,18369960.00,0.00,0.00,0.00,0.00,59571679.00,0.00,59571679.00,3090.00,3090.00,0.00,20000.00,0.00,20000.00,0.00,0.00,0.00,425794.00,425794.00,0.00,10325155.00,0.00,10325155.00,533403.00,0.00,533403.00,110329198.00,110329198.00,0.00,21529001.00,0.00,21529001.00,226.00,6.00,8.00,17.00,0.00,0.00,0.00,0.00,68.00,5.00,101.00,6.00,105.00,100.00,0.00,11.00,1.00,197.00,232.00,1644.00,2396.00,0.00,0.00,0.00,0.00,0.00,0.00,3572.00
