"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
1,12/31/2019 0:00:00,2,0,120312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7302772,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
5,12/31/2019 0:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63142253,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2019 0:00:00,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895561,18576,0,0,0,0,0,0,0,0,0,160753244,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2019 0:00:00,11,248000,708496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42831912,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2019 0:00:00,12,0,72112461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439474,-16527,0,0,0,0,0,0,0,0,0,493363171,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2019 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8313634,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2019 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6192186,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2019 0:00:00,17,0,28443900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44337,40271,0,0,0,0,0,0,0,0,206528271,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2019 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13986146,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2019 0:00:00,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2148459,-84907,0,0,0,0,0,0,0,2382787,0,708362246,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
