"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_NW0001","ACCT_NW0002","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
1,3/31/2020 0:00:00,2,0,53721,108168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7304444,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
5,3/31/2020 0:00:00,6,0,0,563153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67164454,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2020 0:00:00,7,0,0,5179251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654391,1287325,261543,0,0,3203259,0,0,0,0,0,0,0,33502,0,0,0,0,0,0,0,0,0,167235334,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2020 0:00:00,11,248000,580448,1083298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,0,0,0,248000,0,0,0,0,0,0,0,0,0,0,0,42896375,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2020 0:00:00,12,0,71261760,5629220,960170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205928,846072,662910,0,0,1714910,0,0,0,0,0,0,1217181,24121,0,0,0,0,0,0,0,0,0,517879630,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2020 0:00:00,14,0,0,188653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7968559,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2020 0:00:00,16,6608191,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4634000,1974191,0,0,0,6608191,0,0,0,0,0,0,0,0,0,0,0,7000304,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2020 0:00:00,17,0,24866821,207777,301071,0,0,0,1865121,0,0,0,0,1865121,0,0,0,0,0,0,3799828,951950,6029894,0,0,10781672,0,0,0,0,0,0,0,188964,-23045,0,0,0,0,0,0,4642,0,215848695,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2020 0:00:00,19,0,0,232753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14636046,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2020 0:00:00,21,0,0,10508277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6129799,0,0,6129799,0,0,0,0,0,0,2108844,59267,0,0,0,0,0,0,0,0,0,733678942,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2020 0:00:00,29,0,0,1560907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86475377,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
47,3/31/2020 0:00:00,30,0,0,314967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37534770,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2020 0:00:00,31,6958000,0,714083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494000,494000,1250000,4720000,0,6958000,0,0,0,0,0,0,0,0,0,0,0,48641736,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
51,3/31/2020 0:00:00,32,507429950,278623918,31777223,0,0,0,0,0,0,0,33195253,0,33195253,0,0,0,0,0,0,145792326,263422355,82851957,115896029,0,607962667,268457906,150299101,85397744,2261658,1013541,507429950,13422782,8017049,-4281543,0,0,0,0,0,0,0,0,3906221579,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
53,3/31/2020 0:00:00,33,1960,0,708348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,0,0,0,0,1960,0,0,0,0,0,0,0,0,0,0,0,58737654,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
60,3/31/2020 0:00:00,35,0,20558732,1534564,878689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5087749,5087749,0,0,0,0,0,0,1650083,0,0,0,0,0,0,0,0,0,0,284917608,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
62,3/31/2020 0:00:00,36,0,0,598906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27683452,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
75,3/31/2020 0:00:00,40,804983,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,554983,0,804983,0,0,0,0,0,0,0,0,0,0,0,1977822,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
77,3/31/2020 0:00:00,41,0,0,2381947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32212,3148099,2559833,0,0,5740144,0,0,0,0,0,0,0,-166130,0,0,0,0,0,0,0,0,0,157010198,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
