"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003"
1,12/31/2020 0:00:00,2,0,125070,101341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8893681,0,0,0,0,0,0,0,0,,0,9993603,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2020 0:00:00,7,0,0,4411321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249132,5575680,7161629,2495697,0,16482138,0,0,0,0,0,0,777311,42109,0,0,0,0,0,0,-556,0,0,0,0,192701297,16,161900,0,0,0,0,16,161900,,0,208442287,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2020 0:00:00,11,248000,410562,608871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,0,0,0,248000,109155,0,0,0,0,0,0,0,0,0,0,0,0,52807651,0,0,0,0,0,0,0,0,,0,54402663,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2020 0:00:00,12,0,66271474,3990848,5829000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64979,1171027,0,0,0,1236006,0,0,0,0,0,0,1099660,29184,0,0,0,0,0,0,0,0,0,0,0,566621911,0,0,0,0,0,0,0,0,,0,619716870,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2020 0:00:00,14,0,0,96307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8546532,0,0,0,0,0,0,0,0,,0,9837413,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2020 0:00:00,16,7564309,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6604309,475000,485000,0,0,7564309,0,0,0,0,0,0,0,0,0,0,0,0,0,7201103,1,21140,21140,0,0,0,1,21140,,0,10040837,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2020 0:00:00,17,0,17731500,509386,532431,0,0,0,1909650,0,0,0,0,1909650,0,0,0,0,0,0,3977700,1854259,4102378,2030900,0,11965237,0,0,0,0,0,0,0,336134,1570,0,0,0,0,0,0,4642,0,0,0,240290422,0,0,0,0,0,0,0,0,,0,277588615,0,0,0,0,0,0,0,0,0,0,0
26,12/31/2020 0:00:00,19,0,0,269811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17930046,0,0,0,0,0,0,0,0,,0,19913291,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2020 0:00:00,21,0,61359289,7701537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8258891,0,0,8258891,0,0,0,0,0,0,1732298,160137,0,0,0,0,0,0,0,0,0,0,0,852467295,342,9622527,9622527,0,0,0,342,9622527,,0,914802442,0,0,0,0,0,0,0,0,0,0,0
42,12/31/2020 0:00:00,29,0,0,1035597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371656,0,0,0,0,0,0,0,0,0,0,0,0,100521495,0,0,0,0,0,0,0,0,,0,110114633,0,0,0,0,0,0,0,0,0,0,0
