"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B"
1,3/31/2021 0:00:00,2,0,0,0,0,7067173,1778755,0,9962035,0,7067173,1778755,0,8,2,3,13,0,0,0,0,92019,2,0,0,0,0,0,0,0,94863,0,602,0,0,0,0,0,0,0,0,0,0,0,6553,0,0,0,0,0,0,0,0,41986,37,2817,38315,0,2002,800,0,0,0,0,0,1581,3026670,0,0,2260165,0,0,0,0,0,901631,0,0,0,0,84,329,0,1257,63,0,1733,0,0,0,0,0,90,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,95465,79066,17183,16399,0,8711,0,2698,0,0,0,0,0,0,0,0,101948,1059498,0,1002698,0,0,0,3,586,0,0,0,1108632,1112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,7425,1577,23962,9015,237,0,9252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2021 0:00:00,7,0,0,0,0,191636998,3964485,3300056,224711943,0,191636998,6941485,5283056,63,11,2,76,0,0,0,0,122020,2,0,0,0,2,1,0,0,2308355,0,64334,0,0,0,0,0,0,0,0,0,0,0,366506,0,0,0,0,0,0,0,0,1552040,8802,111654,986233,46413,124758,67238,0,0,0,0,12000,19768,49515378,0,0,22007313,0,0,0,0,12710589,17786338,0,0,0,0,554,13097,434,32547,190,154,51936,0,0,0,0,5,145,0,0,5,51,0,0,0,92,7,0,0,0,0,196,0,2372689,2164692,886960,117052,0,122746,0,381008,36497,0,0,0,0,0,0,0,4385073,49642908,0,19632039,0,0,0,3,16955,0,0,0,15821627,704,0,0,0,7900,13093,0,0,0,0,0,0,1,0,0,0,0,70,106,9,9,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9560000,0,0,13395654,1718,262945,175222,38556,4247,218025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7165,1029,0,0,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2021 0:00:00,11,0,0,0,0,59895922,1175017,586558,63808734,0,59895922,1175017,586558,44,2,0,46,0,0,0,0,32020,2,0,0,0,0,0,0,0,536232,0,24688,0,0,0,0,0,0,0,0,0,0,0,250023,0,0,0,0,0,0,0,0,431577,9313,107363,153229,11339,47794,180081,0,0,0,0,3000,15359,3762948,0,0,3580675,0,0,0,0,3622280,4933876,0,0,0,0,190,6305,180,15446,956,398,23475,0,0,0,0,34.9,30,0,0,0,30,0,0,0,26,2,0,0,0,0,0,0,560920,501211,516974,14709,0,59130,0,41743,1202,0,0,0,0,0,0,55559062,765825,6642059,249000,26451443,0,0,0,3,5860,0,-2411643,0,4399237,791,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,73,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6335918,1802,26242,18553,17485,0,36038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2021 0:00:00,12,0,6000000,8000000,5000000,458191354,45346576,38743621,656537368,0,473200354,61387576,38743621,33,2,1,36,0,0,0,0,122020,2,0,0,0,3,2,0,0,5243538,0,2786,0,0,0,0,0,0,0,0,0,0,0,901875,0,0,0,0,0,0,0,0,2122955,12198,170462,1306040,63755,285520,97657,0,0,0,0,42500,15504,177458400,0,0,183939174,0,0,0,0,8190251,15202031,0,0,-7952,0,4348,26581,1593,57190,43,513,90275,0,0,0,0,25,90,87421,0,0,25,0,0,0,107,0,0,0,0,0,355,0,5246324,3578521,2633867,1655707,0,2095797,0,0,0,0,5000000,0,5000000,0,0,0,5675627,90524583,0,3461848,0,0,0,3,22796,0,-1468351,0,61629923,938,0,43950015,0,775256,0,0,0,0,0,0,0,1,0,0,0,0,185,500,0,66,0,336,0,0,56,67,0,1,0,62,0,0,13547,320942866,0,13547,0,320942866,0,0,0,0,0,50000000,0,0,214420,1634,222013,49190,21079,0,70269,0,0,0,0,0,0,33087,0,0,1237857,96593,31757,45833,174183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,3/31/2021 0:00:00,14,0,0,0,0,8606868,80232,0,9970126,0,8606868,80232,0,3,0,0,3,0,0,0,0,22021,5,0,0,0,0,1,0,0,43484,0,21169,0,0,0,0,0,0,0,0,0,0,0,7705,0,0,0,0,0,0,0,0,47168,0,900,12316,515,13643,4295,0,0,0,0,0,310,976380,0,0,694694,0,0,0,0,142080,190182,0,0,0,0,88,357,16,1027,0,0,1488,0,0,0,0,0,50,0,0,1,50,0,0,0,3,1,0,0,0,0,0,0,64653,61179,13749,3474,0,-4219,0,40342,8947,0,0,0,0,0,0,0,75414,2321749,0,3660276,0,0,0,3,286,0,0,0,1286662,1290,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2021 0:00:00,16,0,0,0,0,7839875,0,0,10691625,0,7839875,0,0,0,0,0,0,0,0,0,0,62020,3,0,0,0,0,0,0,0,17167,0,19827,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,26059,0,3510,2080,0,51,3561,0,0,0,0,0,528,104339,0,0,350431,0,0,0,0,0,351108,0,0,0,0,0,0,0,1886,0,0,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,36994,35864,1284,1130,0,1359,2857,0,0,0,0,0,0,0,0,0,30,875923,0,8917699,0,0,0,0,0,0,0,0,2841093,2657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2021 0:00:00,17,0,0,0,0,235853215,14053257,3760466,293155246,0,235853215,14053257,3760466,5,4,4,13,0,0,0,0,92020,2,0,0,0,1,10,0,0,2012953,0,77151,0,0,0,0,0,0,0,0,0,0,0,46395,0,0,0,0,0,0,0,0,638130,3864,104705,376952,52293,230918,114395,0,100355,0,0,18000,12645,42413578,0,0,12612275,0,0,0,0,14773083,16823387,0,0,-53032,0,2125,9201,1501,21301,0,1562,35690,0,0,0,0,25,30,0,0,105,30,0,0,0,29,0,0,0,0,0,0,0,2090104,1547921,404992,379683,0,300656,0,0,165664,0,0,0,0,0,0,0,1271010,33174058,5000000,53188376,0,0,0,3,8661,0,-458797,0,37721511,1286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13001875,0,0,271301,1636.44,0,1865,0,18533,20398,0,0,0,0,0,0,0,249038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
26,3/31/2021 0:00:00,19,0,0,0,0,16594752,1358083,0,20036755,0,16594752,1358083,0,0,0,0,0,0,0,0,0,122020,3,0,0,0,0,1,0,0,68385,0,35915,0,0,0,0,0,0,0,0,0,0,0,25111,0,0,0,0,0,0,0,0,52623,100,8605,19414,1868,-1196,35916,0,0,0,0,1085,6930,1087691,0,0,1659237,0,0,0,0,248571,124848,0,0,0,0,160,648,0,1304,23,0,2135,0,0,0,0,0,101,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,104300,95899,25111,8401,0,-4335,0,111464,0,0,0,0,0,0,0,0,304062,1380184,0,12526464,0,0,0,3,491,0,0,0,1979678,988,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,40225,1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2021 0:00:00,21,0,0,0,0,809936674,42901426,9767496,994108251,0,809936674,42901426,9767496,204,50,58,312,0,0,0,0,62020,2,0,0,0,20,9,0,0,9821679,0,91822,0,0,0,0,0,0,0,0,0,0,0,3759165,0,0,0,0,0,0,0,0,6090585,21946,726901,1263724,231292,448658,848274,0,0,0,0,47220,32439,264879857,0,0,32240724,0,0,0,0,55558,63530433,0,0,-25818,750,7935,52122,3046,102834,0,9339,175276,0,0,0,0,20,20,0,0,0,20,0,0,0,265,15,0,0,0,0,0,0,9913501,7327317,5266467,1284472,0,2882745,0,5354,123,0,0,0,0,0,0,912203233,7739458,93772641,0,45033534,0,0,0,3,55566,0,-11336244,0,76613236,839,0,462964548,0,401609,14443030,0,0,0,0,0,0,1,0,0,0,0,570,1163,13,0,0,207,0,0,201,89,0,0,0,19,0,0,13386,209555564,0,13386,0,209555564,0,0,0,44449206,44449206,286177722,0,0,11431091,1668,676673,483414,79902,537660,1100976,0,0,0,0,0,319225,114618,139311,24661,2265697,1486869,237548,135991,1860408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,3,1,0,0,1,1,4,1,2,3,6,0,0,0,0,0
42,3/31/2021 0:00:00,29,0,0,0,0,102269624,3122329,1464500,117189989,0,102269624,3122329,1464500,18,1,2,21,0,0,0,0,92020,2,0,0,0,2,1,0,0,673522,0,83214,0,0,0,0,0,0,0,0,0,0,0,152710,0,0,0,0,0,0,0,0,347650,3322,34280,131992,21298,51750,205970,0,0,0,0,5803,4429,2752666,0,0,14744632,0,0,0,0,2595378,4026684,0,0,-9138,-11562,457,7100,394,12537,35,228,20751,0,0,0,0,29,132,0,0,4,105,0,0,0,15,4,0,0,0,0,0,0,756736,720675,323693,67942,0,237874,0,0,0,0,0,0,0,0,0,0,1106454,10474811,0,41899000,0,0,0,3,6309,0,0,0,9831011,838,0,0,0,0,60341,0,0,0,0,0,0,1,0,0,0,0,49,144,0,0,0,0,4,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,986659,1621,30957,41709,6915,0,48624,0,0,0,0,0,205555,0,43709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
