"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047"
1,6/30/2021 0:00:00,2,0,0,67326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876879,0,0,0,0,0,0,0,0,,0,10000520,0,0,0,0,0,0,0,0,0,0,0,36839,0,0,0
6,6/30/2021 0:00:00,7,0,0,6819490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1528196,6524540,9055088,4439421,0,21547245,0,0,0,0,0,0,435358,-71933,0,0,0,0,0,0,0,0,0,0,0,209336859,19,458677,0,0,0,0,19,458677,,0,226268659,0,0,0,0,0,0,0,0,0,0,0,1831118,0,0,0
12,6/30/2021 0:00:00,11,1741043,296041,882932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,499229,993814,0,0,1741043,72552,0,0,0,0,0,0,0,0,0,0,0,0,59356810,0,0,0,0,0,0,0,0,,0,61586661,0,0,0,0,0,0,0,0,0,0,0,561068,0,0,0
13,6/30/2021 0:00:00,12,0,101144662,3591118,1028657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50678,931303,0,0,0,981981,0,0,0,0,0,0,236696,20077,0,0,0,0,0,0,0,0,0,0,0,629946209,0,0,0,0,0,0,0,0,,0,687533643,0,0,0,0,0,0,0,0,0,0,0,3809297,0,0,0
16,6/30/2021 0:00:00,14,0,0,110642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8773466,0,0,0,0,0,0,0,0,,0,10047513,0,0,0,0,0,0,0,0,0,0,0,13713,0,0,0
19,6/30/2021 0:00:00,16,6827073,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4399073,973000,1210000,245000,0,6827073,0,0,0,0,0,0,0,0,0,0,0,0,0,7490034,0,0,0,0,0,0,0,0,,0,10300248,0,0,0,0,0,0,0,0,0,0,0,981,0,0,0
22,6/30/2021 0:00:00,17,0,29855414,470285,573963,0,0,0,2189156,0,0,0,0,2189156,0,0,0,0,0,0,3392793,1708783,3452113,6874929,0,15428618,0,0,0,0,0,0,0,233873,0,0,0,0,0,0,0,0,0,0,0,264984079,0,0,0,0,0,0,0,0,,0,302932316,0,0,0,0,0,0,0,0,0,0,0,560522,0,270638,0
26,6/30/2021 0:00:00,19,0,0,336044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17863788,0,0,0,0,0,0,0,0,,0,19838054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2021 0:00:00,21,0,15462818,7841951,0,0,0,0,40027657,10010492,0,0,0,50038149,0,0,0,0,0,0,0,4887580,10215044,16578914,0,31681538,0,0,0,0,0,0,1170407,-81217,0,0,0,0,0,0,0,0,0,0,0,915584165,363,7668060,7668060,0,0,0,363,7668060,,0,989657707,0,0,0,0,0,0,0,0,0,0,0,3280668,0,-17838,0
42,6/30/2021 0:00:00,29,0,0,1229432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303639,0,0,0,0,0,0,0,0,0,0,0,0,108289344,0,0,0,0,0,0,0,0,,0,118288093,0,0,0,0,0,0,0,0,0,0,0,409770,0,0,0
47,6/30/2021 0:00:00,30,0,0,304560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47490533,0,0,0,0,0,0,0,0,,0,53368400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6/30/2021 0:00:00,31,10158000,0,622803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3616000,3243000,3299000,0,10158000,99171,0,0,0,0,0,0,0,0,0,0,0,0,53244541,0,0,0,0,0,0,0,0,,0,65031849,0,0,0,0,0,0,0,0,0,0,0,147500,0,0,0
51,6/30/2021 0:00:00,32,291990061,902977538,24314997,0,0,0,0,0,0,0,0,10491153,10491153,0,0,0,0,0,0,196854422,699499088,232336924,58726559,0,1187416993,197807748,93541244,0,0,641069,291990061,8288362,-4634333,0,0,0,0,0,0,0,0,0,0,0,4972418063,934,48411399,48411399,0,0,0,934,48411399,,0,5340868909,0,0,0,0,0,0,0,0,0,0,0,34905793,0,7991159,11281
53,6/30/2021 0:00:00,33,0,0,452497,0,0,0,0,2000742,0,0,0,0,2000742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60546,742,0,0,0,0,0,0,0,0,0,0,0,67474129,0,0,0,0,0,0,0,0,,0,70469671,0,0,0,0,0,0,0,0,0,0,0,337450,0,0,0
60,6/30/2021 0:00:00,35,15242205,96114762,1144062,1083940,0,0,0,0,0,0,0,481692,481692,0,0,0,0,0,0,0,3511485,2148069,0,0,5659554,0,2500000,10666507,2075698,0,15242205,1104555,-2455,0,0,0,0,0,0,0,0,0,0,0,368526122,79,1535054,1535054,0,0,0,79,1535054,,0,408821859,0,0,0,0,0,0,0,0,0,0,0,3416438,0,0,0
62,6/30/2021 0:00:00,36,0,0,326711,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6286,0,0,0,0,0,0,0,0,0,0,0,0,32628809,0,0,0,0,0,0,0,0,,0,37747424,0,0,0,0,0,0,0,0,0,0,0,55436,0,0,0
75,6/30/2021 0:00:00,40,1144541,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1144541,0,1144541,0,0,0,0,0,0,0,0,0,0,0,0,0,1863201,0,0,0,0,0,0,0,0,,0,2461263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6/30/2021 0:00:00,41,0,0,1787281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122352,2930051,13519644,4226857,0,20798904,0,0,0,0,0,0,0,-262616,0,0,0,0,0,0,0,0,0,0,0,195859199,63,732096,630413,0,0,0,63,732096,,0,206911307,0,0,0,0,0,0,0,0,0,0,0,201208,0,0,0
