"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_001","ACCT_011A","ACCT_011B1","ACCT_011B2","ACCT_013A","ACCT_013B1","ACCT_013B2","ACCT_014","ACCT_017","ACCT_018A","ACCT_018B1","ACCT_018B2","ACCT_021A","ACCT_022A","ACCT_023A","ACCT_041A","ACCT_058A","ACCT_058B1","ACCT_058B2","ACCT_062","ACCT_063","ACCT_076","ACCT_077","ACCT_078","ACCT_079","ACCT_081","ACCT_082","ACCT_090","ACCT_099","ACCT_110","ACCT_119","ACCT_120","ACCT_124","ACCT_125A","ACCT_125B","ACCT_125C","ACCT_125D","ACCT_125E","ACCT_126A","ACCT_126B","ACCT_126C","ACCT_126D","ACCT_126E","ACCT_131","ACCT_132","ACCT_133","ACCT_134","ACCT_135","ACCT_140","ACCT_142","ACCT_143","ACCT_144","ACCT_210","ACCT_230","ACCT_250","ACCT_260","ACCT_270","ACCT_280","ACCT_290","ACCT_305","ACCT_310","ACCT_314","ACCT_315","ACCT_320","ACCT_360","ACCT_370","ACCT_381","ACCT_384","ACCT_385","ACCT_389","ACCT_391","ACCT_393","ACCT_395","ACCT_396","ACCT_397","ACCT_399","ACCT_420","ACCT_430","ACCT_440","ACCT_451","ACCT_452","ACCT_453","ACCT_454","ACCT_455","ACCT_458","ACCT_460","ACCT_463","ACCT_475","ACCT_481","ACCT_482","ACCT_532","ACCT_547","ACCT_548","ACCT_549","ACCT_553","ACCT_554","ACCT_555","ACCT_560","ACCT_561","ACCT_564A","ACCT_564B","ACCT_593","ACCT_594","ACCT_595","ACCT_596","ACCT_599","ACCT_002","ACCT_115","ACCT_116","ACCT_117","ACCT_350","ACCT_565","Acct_661A","Acct_769A","Acct_769B","Acct_820A","Acct_954","Acct_925A","Acct_925B1","Acct_925B2","Acct_010A","Acct_010B","Acct_010C","Acct_730A","Acct_730B","Acct_730C","Acct_799I","Acct_814A","Acct_889A","Acct_889B","Acct_892A","Acct_892B","Acct_945A","Acct_945B","Acct_996","Acct_997","Acct_998","Acct_999","ACCT_779A","ACCT_785A","ACCT_798A","ACCT_814B","ACCT_865A","ACCT_900A","ACCT_900B","ACCT_900C","ACCT_900D","ACCT_900F","ACCT_903","ACCT_904","ACCT_905","ACCT_906","ACCT_961A","ACCT_972A","ACCT_972B","ACCT_972C","ACCT_972D","ACCT_972E","ACCT_973A","ACCT_973B","ACCT_976B","ACCT_982A","ACCT_982B","ACCT_982C","ACCT_982D","ACCT_982E","ACCT_983A","ACCT_983B","ACCT_986B","ACCT_617A","ACCT_618A","ACCT_718A","ACCT_617B","ACCT_617C","ACCT_618B","ACCT_618C","ACCT_883A","ACCT_883B1","ACCT_883B2","ACCT_883C","ACCT_881","ACCT_882","ACCT_822","ACCT_567","ACCT_568","ACCT_020C","ACCT_021C","ACCT_022C","ACCT_023C","ACCT_041C","ACCT_020D","ACCT_021D","ACCT_022D","ACCT_023D","ACCT_041D","ACCT_713A","ACCT_714A","ACCT_715A","ACCT_716A","ACCT_020E","ACCT_021E","ACCT_022E","ACCT_023E","ACCT_041E","ACCT_020F","ACCT_021F","ACCT_022F","ACCT_023F","ACCT_041F","ACCT_065A","ACCT_065B","ACCT_065C","ACCT_065D","ACCT_065E","ACCT_067A","ACCT_067B","ACCT_067C","ACCT_550J","ACCT_550K","ACCT_550L","ACCT_551J","ACCT_551K","ACCT_551L","ACCT_029A","ACCT_029B","ACCT_029C","ACCT_029D","ACCT_029E","ACCT_030A","ACCT_030B","ACCT_030C","ACCT_030D","ACCT_030E","ACCT_032A","ACCT_032B","ACCT_032C","ACCT_032D","ACCT_032E","ACCT_704F1","ACCT_704F2","ACCT_704F3","ACCT_704F4","ACCT_811B","ACCT_PP0027","ACCT_PP0029","ACCT_PP0031"
1,12/31/2021 0:00:00,2,0,0,0,0,7522672,2057862,0,10732756,0,7522672,2057862,0,13,4,3,20,0,0,0,0,62021,2,0,0,0,0,0,0,0,365358,0,2088,0,0,0,0,0,0,0,0,0,0,0,32622,0,0,0,0,0,0,0,0,180539,156,13857,154527,1429,8694,3460,0,0,0,0,15264,5356,3059833,0,0,2348206,0,0,48731,0,0,773985,0,0,0,0,87,330,0,1324,0,0,1741,0,0,0,0,0,90,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,367446,308324,123689,58504,0,48731,0,2698,0,0,0,0,0,0,0,0,100486,1621449,0,752698,0,0,0,0,619,0,0,0,1148652,1070.2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,9525,1590,23165,21000,3281,0,24281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12/31/2021 0:00:00,7,0,0,0,0,208321359,5216019,1671161,243317640,0,209556359,8941019,1671161,123,3,0,126,0,0,0,0,122020,2,0,0,0,16,18,0,0,9504029,0,305431,0,0,0,0,0,0,0,0,0,0,0,1467392,0,0,0,0,0,0,0,0,5916311,105192,500170,4183760,222919,579178,259099,0,0,0,0,41674,68392,52489072,0,0,24615440,0,0,0,0,14806146,20125607,0,0,0,1480333,496,13528,420,33157,203,147,52911,0,0,0,0,5,91,0,0,5,47,0,0,0,86,5,0,0,0,0,196,0,9809460,9093701,5797627,386515,0,3014633,0,381008,49915,0,0,0,0,0,0,0,4593172,46010072,0,28208202,0,0,0,0,18576,0,0,0,18713514,769.0981,0,0,0,20800,10407,0,0,0,0,0,0,0,0,0,0,0,84,105,9,10,0,0,0,0,28,11,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9560000,0,0,12343258,1711,257858,301722,0,0,301722,0,0,0,0,0,0,0,16861,0,0,0,0,0,0,8221,6733,0,0,6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12,12/31/2021 0:00:00,11,0,0,0,0,55812081,1299584,468981,60299487,0,55812081,1299584,468981,60,3,0,63,0,0,0,0,32021,2,0,0,0,0,0,0,0,2106537,0,114678,0,0,0,0,0,0,0,0,0,0,0,1146649,0,0,0,0,0,0,0,0,1526788,20356,441958,596455,47101,410644,586772,0,0,0,0,9675,35547,4406312,0,0,3678133,0,0,0,0,3849096,6535930,0,0,0,83647,184,6353,182,13777,2240,393,23129,0,0,0,0,10,15,0,0,0,15,0,0,0,24,5,0,0,0,0,0,0,2221215,1929349,2336799,43578,0,590852,0,41743,878,0,0,0,0,0,0,0,730570,4974983,3486000,18465393,0,0,0,0,5827,0,-2270136,0,4816540,798.7696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2090000,0,0,5050177,1788,21985,24017,876,0,24893,0,0,0,0,0,0,0,43637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
13,12/31/2021 0:00:00,12,0,2500000,10500000,7000000,517871514,75267715,14874734,742289927,0,517871514,91308715,40312734,53,2,0,55,0,0,0,0,122020,2,0,0,0,0,9,0,0,21835961,0,353479,0,0,0,0,0,0,0,0,0,0,0,4117245,0,0,0,0,0,0,0,0,8972778,63720,703821,5491147,260455,1241388,418500,0,0,0,0,126364,69623,208663267,0,0,215462212,0,0,0,0,8847564,16003168,0,0,24685,0,4438,28867,1626,61152,62,518,96670,0,0,0,0,25,90,87421,0,0,25,0,0,0,115,0,0,0,0,0,130,0,22189440,15651152,11166413,6526192,0,9469769,0,0,0,0,5000000,0,5000000,0,0,0,5431570,91846663,0,3163014,0,0,0,0,25144,0,-983290,0,69003895,929.6084,0,54957680,0,90313,0,0,0,0,0,0,0,0,0,0,0,0,201,585,0,53,0,338,0,0,160,245,0,3,0,143,0,0,14742,378964724,0,14742,0,378964724,0,0,0,0,0,50000000,0,0,287854,1654,313591,72476,0,0,72476,0,0,0,0,0,0,96232,0,21500,2260162,227205,38788,0,265993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12/31/2021 0:00:00,14,0,0,0,0,9171873,235750,0,10657787,0,9171873,235750,0,4,0,0,4,0,0,0,0,22021,2,0,0,0,0,1,0,0,169466,0,86886,0,0,0,0,0,0,0,0,0,0,0,28944,0,0,0,0,0,0,0,0,203138,0,3600,49356,530,61382,15565,0,0,0,0,2074,666,885311,0,0,655134,0,0,0,0,139263,125432,0,0,0,0,87,345,15,1213,0,0,1660,0,0,0,0,0,35,0,0,1,35,0,0,0,3,1,0,0,0,0,0,0,256352,244459,57678,11893,0,-34174,0,40342,2509,0,0,0,0,0,0,0,79692,2334745,0,4512975,0,0,0,0,409,0,0,0,1256707,1179.1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,5980,0,0,5980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2021 0:00:00,16,0,0,0,0,7242884,0,0,10053914,0,7242884,0,0,0,0,0,0,0,0,0,0,62021,3,0,0,0,0,0,0,0,71829,0,68575,0,0,0,0,0,0,0,0,0,0,0,3200,0,0,0,0,0,0,0,0,90402,0,13940,7894,2004,604,13281,0,0,0,0,2101,1707,369848,0,0,236442,0,0,0,0,0,504420,0,0,0,0,0,0,0,1906,0,0,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,140404,135077,6290,3737,0,9434,2857,0,0,0,0,0,0,0,0,0,30,568774,0,8295075,0,0,0,0,0,0,0,0,2804826,2789.7852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2021 0:00:00,17,0,0,0,0,246044917,17323345,4705453,309149255,0,246044917,17323345,4705453,4,1,3,8,0,0,0,0,92021,2,0,0,0,2,2,0,0,8277775,0,342548,0,0,0,0,0,0,0,0,0,0,0,210227,0,0,0,0,0,0,0,0,2740876,27169,399702,1553504,238919,1105565,435164,0,401952,0,0,56387,53041,46400545,0,0,14199656,0,0,0,0,14535019,12626945,0,0,-53032,0,1847,9648,1463,21675,0,1618,36251,0,0,0,0,20,25,0,0,105,25,0,0,0,29,0,0,0,0,0,0,0,8620323,7232567,1783694,1171089,0,2003982,0,0,113420,0,0,0,0,0,0,0,625306,24225526,10000000,54123524,0,0,0,0,9339,0,-235058,0,39424838,1275.2687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,43,0,0,0,0,6,0,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15176652,0,0,224724,1637.89,0,0,0,4440,4440,0,0,0,0,0,0,0,33293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26,12/31/2021 0:00:00,19,0,0,0,0,16943746,748778,0,19734522,0,16943746,748778,0,2,0,0,2,0,0,0,0,122020,3,0,0,0,0,1,0,0,271878,0,105873,0,0,0,0,0,0,0,0,0,0,0,103941,0,0,0,0,0,0,0,0,215150,464,38598,74898,7473,-2017,138542,0,0,0,0,3567,14796,1247325,0,0,1721666,0,0,0,0,265292,136615,0,0,0,0,157,651,0,1290,25,0,2123,0,0,0,0,0,57,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,377751,353574,103941,26657,0,-33956,0,111464,0,0,0,0,0,0,0,0,282814,1056815,0,12519464,0,0,0,0,907,0,0,0,1927514,976.7219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000,1000000,0,58288,1914,2958,0,0,0,0,0,0,0,0,0,36356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12/31/2021 0:00:00,21,0,0,0,0,831020554,24359798,10488027,1013892161,0,831020554,24359798,10488027,327,46,50,423,0,0,0,0,62021,2,0,0,0,70,38,0,0,40838608,0,628402,0,0,0,0,0,0,0,0,0,0,0,12704970,0,0,0,0,0,0,0,0,25160227,198161,3035562,5233141,1380353,1836628,3514938,0,0,0,0,179635,374502,288426342,0,0,27899766,0,0,0,0,36433,55506336,0,0,-165152,93910,7109,53605,2862,106728,0,9153,179457,0,0,0,0,20,70,0,7131,0,70,0,0,0,269,18,0,0,0,0,0,0,41467010,34796894,19727295,4795768,0,13611042,5359,0,139,0,0,0,0,0,0,996376096,7972265,26215068,0,39461844,0,0,0,0,59730,0,-6209030,0,87341533,876.592,0,401174298,0,427626,16743595,0,0,0,0,0,0,0,0,0,0,0,960,1141,12,0,0,186,0,0,728,312,0,0,0,47,0,0,12866,208358503,0,12866,0,208358503,0,0,0,44687963,44687963,408459096,0,0,12729914,1668,1119668,584580,43087,35052,662719,0,0,0,0,0,957902,714056,315583,81223,4213005,2248519,426610,79712,2754841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,0,1,0,2,3,9,6,0,4,10,0,0,0,0,0,0,0,0
42,12/31/2021 0:00:00,29,0,0,0,0,123302030,4462537,423402,140287945,0,123302030,4462537,423402,28,4,3,35,0,0,0,0,92021,2,0,0,0,5,1,0,0,2751931,0,265794,0,0,0,0,0,0,0,0,0,0,0,664443,0,0,0,0,0,0,0,0,1509764,38057,151186,560480,138172,271554,1029193,0,0,0,0,21679,22451,4229295,0,0,14349853,0,0,0,0,3116305,4428187,0,0,-16478,-53039,484,8198,431,15586,47,252,24998,0,0,0,0,21,98,0,0,4,63,0,0,0,23,3,0,0,0,0,0,0,3017725,2803079,1440784,226890,0,501327,0,66000,0,0,0,0,0,0,0,0,1228337,31716567,249000,36666000,0,0,0,0,7042,0,0,0,11368075,810.3387,0,0,0,0,18143,0,0,0,0,0,0,0,0,0,0,0,55,146,0,0,0,0,3,0,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,1555411,1609,128832,74553,17381,0,91934,0,0,0,0,0,233354,0,43709,99510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
