"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,3/31/2022 0:00:00,2,4/30/2022 5:13:03 AM,45834,17748,0,11610842,0,10457145,10457145,0,34436,22954,3472,846,8510200,111,1281778,62623,0,0,0,0,0,0,0,1261,2000,0,259,0,14649,0,0,0,0,0,0,0,825,299,299,2857,178,0,0,0,1744,0,0,0,0,0,0,0,0,7698010,203072,0,0,104163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88864,0,0,0,0,0,0,0,455745,0,302007,2303390,0,0,945581,0,0,243,0,0,0,0,0,0,0,0,0,70494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2022 0:00:00,7,5/13/2022 12:03:39 AM,2949890,708836,0,247196275,0,220312997,225272997,0,468215,158512,0,18074,154652763,4948,19359240,1174695,0,0,0,0,0,0,0,27045,55000,0,238299,0,82804,0,0,0,0,0,4960,1111,1089,396,603,253964,121692,0,0,0,769605,268595,0,0,0,0,0,0,0,146232732,2045500,0,0,2955774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996411,0,0,0,0,4348685,0,4960000,46004998,5375621,8859724,13590553,7411122,0,16498094,0,0,3163,0,0,0,0,0,0,0,0,0,1632332,0,161801,0,0,0,0,0,0,0,0,0,0,729004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537474,43618,7561937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2022 0:00:00,11,5/14/2022 12:02:23 AM,5314688,636894,0,64463874,0,61299657,61299657,0,35991,6460,0,7714,23476117,604,3095064,97917,0,0,0,0,0,0,0,9224,19224,0,52670,52,8895,0,0,0,0,0,0,1799,1099,199,425,67709,23869,0,0,0,0,376151,0,0,0,0,0,0,0,28796745,0,0,0,977240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588158,0,0,0,0,234158,0,0,16752729,725059,1869523,2792180,11353529,0,5026770,0,0,395,0,0,0,0,0,0,0,0,0,188958,0,18999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57701,20859,2929055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2022 0:00:00,12,4/29/2022 5:02:32 AM,12109593,615319,0,777639035,20000000,640490657,681969657,0,457479,38788,96232,30626,666198566,7901,116484736,997174,0,0,0,0,0,0,0,56796,849530,0,0,171212,1316784,0,0,0,0,0,7,950,600,399,399,223683,125160,0,0,0,0,249085,0,0,0,0,0,0,0,216759008,0,0,0,4508511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5484332,0,0,0,0,4869260,25000000,41479000,131609819,29772178,141384784,212142025,28615665,0,66796678,0,0,10097,0,0,0,0,0,0,0,0,0,4108100,0,33747,0,0,0,0,0,0,0,0,0,0,1436282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699249,1539,5073149,0,0,0,0,0,17234725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2022 0:00:00,14,4/28/2022 5:07:10 AM,0,1507,0,10481033,0,9241368,9241368,0,31448,0,0,265,3431210,2,29613,31448,0,0,0,0,0,0,0,966,1320,0,0,0,2545,0,0,0,0,0,0,1490,950,449,474,493,588,0,0,0,0,0,0,0,0,0,0,0,0,6417675,479075,0,0,87714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85463,0,0,0,0,-7326,0,0,1839241,238740,507518,721090,0,0,765666,0,0,61,0,0,0,0,0,0,0,0,0,8441,0,3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5793,14305,28979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2022 0:00:00,16,4/8/2022 12:01:56 AM,0,1,0,10622627,0,8040054,8040054,0,0,0,0,257,1185013,29,234860,0,0,0,0,0,0,0,0,1170,2000,0,0,0,893,0,0,0,0,0,0,0,1120,485,450,0,201,0,0,0,0,0,0,0,0,0,0,0,0,8040054,91768,0,0,37707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71499,0,0,0,0,-216579,0,0,0,0,0,0,0,0,2707384,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3119,1716,3749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2022 0:00:00,17,4/30/2022 5:20:34 AM,3545658,230769,0,318369485,0,277280407,277280407,0,2312,40500,14328,16628,217650589,630,23563001,60279,0,0,0,0,0,0,0,20060,25000,0,0,0,192614,0,0,0,0,0,0,850,799,189,189,15410,23354,0,0,0,0,0,0,0,0,0,0,0,0,98160344,0,0,0,1803178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2456820,0,0,0,0,2026481,0,0,35112655,10302232,23529978,36236023,92254785,0,40086502,0,0,3621,0,0,0,0,0,0,0,0,0,398120,0,12900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539325,32923,1147743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2022 0:00:00,19,4/20/2022 5:01:03 AM,135194,53129,0,19563073,0,17480043,17480043,0,0,0,0,471,5420304,214,418225,0,0,0,0,0,0,0,0,1266,14437,0,-13479,0,3208,0,0,0,0,0,0,1000,699,249,279,22468,22468,0,0,0,2858,6979,0,0,0,0,0,0,0,12354217,603147,0,0,118074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160280,0,0,0,0,152657,0,0,2783421,0,2335426,2335426,0,0,1324368,0,0,80,0,0,0,0,0,0,0,0,0,51206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2022 0:00:00,21,4/30/2022 5:06:29 AM,52447121,8148912,0,1062581325,0,899529857,899529857,0,2651029,455346,1411170,45197,863358043,3235,112737840,6008608,0,0,0,0,0,0,0,121016,910657,0,-329851,415181,663039,0,0,0,0,0,0,990,774,449,499,865818,487720,0,0,0,0,0,0,0,0,0,0,0,0,231887016,0,0,0,10118103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7335285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8006993,0,0,0,0,20430617,61267549,0,232299163,27654358,94436916,128033531,269029968,0,92088671,0,0,18565,0,0,0,0,0,0,0,0,0,6567021,0,0,0,0,0,0,0,0,0,0,0,0,56594500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731120,124991,31440268,0,0,0,0,0,9269566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2022 0:00:00,29,4/30/2022 5:03:47 AM,1991257,361199,0,144714941,0,132505975,132505975,0,212198,127688,249264,6630,67366365,272,8255737,764658,0,0,0,0,0,0,0,14884,244000,0,18472,0,46896,0,0,0,0,0,0,895,1108,333,568,21424,14962,0,0,0,0,149960,0,0,0,0,0,0,0,80236802,782449,0,0,957143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1234540,0,0,0,0,559021,0,0,22256685,4249516,5057189,8255749,16198760,0,9593887,0,0,543,0,0,0,0,0,0,0,0,0,805312,0,66465,0,0,0,0,0,0,0,0,0,0,314431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139287,48059,961868,0,0,0,0,0,9589164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
