"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,3/31/2022 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146
6,3/31/2022 0:00:00,7,0,0,0,0,0,0,924004,0,0,0,0,0,0,0,31406341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21442,0,0,5024213,37435300,0,0,0,0,59300,12,2,0,4,0,0,1,2,1,0,2,2,4,6,0,0,0,10,14,203,145,0,0,0,0,0,0,541
12,3/31/2022 0:00:00,11,0,0,0,0,0,0,131724,0,0,0,0,0,0,0,3320468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436077,0,0,42272,3965390,0,0,0,0,34849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,48,0,0,0,0,0,0,19
13,3/31/2022 0:00:00,12,0,0,0,0,0,0,32788021,0,0,0,0,0,0,0,33034121,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,22542925,88686318,0,0,0,0,321251,1,3,0,0,0,0,1,3,0,0,1,3,4,0,0,0,0,0,4,1220,811,0,0,0,0,0,0,1252
16,3/31/2022 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,499466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,0,0,0,0,0,0,0
19,3/31/2022 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
22,3/31/2022 0:00:00,17,0,0,0,0,0,0,46999925,0,0,0,0,0,0,0,41036335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493566,0,0,56500,88624265,0,0,0,0,37939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2013,0,0,0,0,0,0,159
26,3/31/2022 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,60
28,3/31/2022 0:00:00,21,0,0,0,0,0,0,38947176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17314443,0,0,0,0,10861346,0,0,516681,75905315,0,0,0,0,25580112,229,7,3,13,0,0,0,0,78,7,117,7,163,96,0,5,0,114,236,2169,2411,11,0,0,0,0,0,2778
42,3/31/2022 0:00:00,29,0,0,0,0,0,0,13535144,0,0,0,0,0,0,0,13785089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28525518,0,0,0,0,1205285,4,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,2,4,210,485,4,0,0,0,0,0,69
47,3/31/2022 0:00:00,30,0,0,0,0,0,0,2828437,0,0,0,0,0,0,0,2504602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265673,0,0,0,5598712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,76,0,0,0,0,0,0,112
48,3/31/2022 0:00:00,31,0,0,0,0,0,0,40541,0,0,0,0,0,0,0,2078671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195743,0,0,207488,2522443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,26,6,0,0,0,0,0,106
51,3/31/2022 0:00:00,32,0,0,0,0,0,0,188167493,0,0,0,0,0,0,0,417918526,0,0,0,0,0,0,0,0,0,21989094,0,0,0,0,53235119,0,0,35430019,907768518,0,0,0,0,213017361,197,15,2,3,0,0,44,1,59,5,144,15,159,48,0,39,8,53,212,11058,7241,3,0,0,0,0,0,3722
53,3/31/2022 0:00:00,33,0,0,0,0,0,0,2501511,0,0,0,0,0,0,0,6614600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10371820,0,0,0,0,1255709,0,15,0,0,0,0,0,0,0,13,0,15,15,0,0,0,2,0,15,82,88,0,0,0,0,0,0,11
60,3/31/2022 0:00:00,35,0,0,0,0,0,0,9355613,0,0,0,0,0,0,0,35325149,0,0,0,0,0,0,0,0,0,939954,0,0,0,0,2559903,0,0,2025116,54199345,0,0,0,0,4933564,74,1,0,0,0,0,17,0,0,1,21,1,22,53,0,4,0,53,75,399,570,0,0,0,0,0,0,1225
62,3/31/2022 0:00:00,36,0,0,0,0,0,0,320028,0,0,0,0,0,0,0,582519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71537,974084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,7,0,0,0,0,0,0,0
75,3/31/2022 0:00:00,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3/31/2022 0:00:00,41,0,0,0,0,0,0,2333178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52095,0,0,0,8644463,0,0,0,0,6259190,61,4,0,0,0,0,13,0,0,4,24,4,28,37,0,8,0,37,65,78,118,0,1,0,0,0,1,253
79,3/31/2022 0:00:00,43,0,0,0,0,0,0,32882835,0,0,0,0,0,0,0,34680638,0,0,0,0,0,0,0,0,0,8471218,0,0,0,0,84257,0,0,8995478,85917693,0,0,0,0,9274485,236,0,19,99,0,0,58,0,20,0,97,0,97,21,0,14,0,139,236,1187,878,5,0,0,0,0,0,1295
82,3/31/2022 0:00:00,46,0,0,0,0,0,0,38750082,0,0,0,0,0,0,0,7846904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500895,0,0,10733966,73123144,0,0,0,0,5291297,17,4,0,0,0,0,3,0,10,4,17,4,21,0,0,4,0,0,21,632,673,0,0,0,0,0,0,82
90,3/31/2022 0:00:00,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
98,3/31/2022 0:00:00,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,0,0,0,0,0,0,12
