"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017"
1,3/31/2022 0:00:00,2,0,0,114461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10460445,0,0,0,0,0,0,0,0,,0,11610842,0,0,0,0,0,0,0,0,0,0,0,20526,0,0,0,0,0,0,0,0,0
6,3/31/2022 0:00:00,7,0,0,4875671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753802,10456600,14877028,8773815,0,34861245,0,0,0,0,0,0,0,-1934503,0,0,0,0,0,0,0,0,0,0,0,229647659,2,23310,0,0,0,0,2,23310,,0,247196275,0,0,0,0,0,0,0,0,0,0,0,684484,0,0,272,0,0,303,1119575,0,0
12,3/31/2022 0:00:00,11,0,407272,867049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,2003589,2658004,0,0,4909593,0,0,0,0,0,0,0,0,0,0,0,0,0,61534628,0,0,0,0,0,0,0,0,,0,64463874,0,0,0,0,0,0,0,0,0,0,0,265486,0,0,0,0,0,0,0,0,0
13,3/31/2022 0:00:00,12,0,78032231,3891265,2457834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19135,587941,88974,0,0,696050,0,0,0,0,0,0,0,-13271,0,0,0,0,0,0,0,0,0,0,0,711838917,0,0,0,0,0,0,0,0,,0,777639035,0,0,0,0,0,0,0,0,0,0,0,1700691,0,0,0,0,0,0,0,0,0
16,3/31/2022 0:00:00,14,0,0,88065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9236292,0,0,0,0,0,0,0,0,,0,10481033,0,0,0,0,0,0,0,0,0,0,0,7672,0,0,0,0,0,0,0,0,0
19,3/31/2022 0:00:00,16,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4401000,1552000,1455000,0,0,7408000,0,0,0,0,0,0,0,0,0,0,0,0,0,7823475,0,0,0,0,0,0,0,0,,0,10622627,0,0,0,0,0,0,0,0,0,0,0,769,0,0,0,0,0,0,0,0,0
22,3/31/2022 0:00:00,17,0,17205223,753725,225081,0,0,0,2298676,0,0,0,0,2298676,0,0,0,0,0,0,2595179,3198889,4893813,7571014,0,18258895,0,0,0,0,0,0,0,-896372,0,0,0,0,0,0,0,0,0,0,0,279414413,0,0,0,0,0,0,0,0,,0,318369485,0,0,0,0,0,0,0,0,0,0,0,359823,0,2394,0,0,0,0,0,0,0
26,3/31/2022 0:00:00,19,0,0,357202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17632700,0,0,0,0,0,0,0,0,,0,19563073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2022 0:00:00,21,0,6848158,8492945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7315211,20713854,37504903,5578570,71112538,0,0,0,0,0,0,0,-4585040,0,0,0,0,0,0,0,0,0,0,0,981228152,22,683493,552036,0,0,0,19,448189,,0,1062581325,0,0,0,0,0,0,0,0,0,0,0,1912456,0,0,0,0,0,0,0,0,0
42,3/31/2022 0:00:00,29,0,0,1420383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,2700000,3300000,0,0,6600000,0,0,0,0,0,0,0,0,0,0,0,0,0,133064996,0,0,0,0,0,0,0,0,,0,144714941,0,0,0,0,0,0,0,0,0,0,0,211579,0,0,0,0,0,0,0,0,0
47,3/31/2022 0:00:00,30,0,0,324341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48764287,0,0,0,0,0,0,0,0,,0,54779896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2022 0:00:00,31,0,0,557769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6250000,5050000,0,0,11300000,0,0,0,0,0,0,0,0,0,0,0,0,0,52905409,0,0,0,0,0,0,0,0,,0,64806950,0,0,0,0,0,0,0,0,0,0,0,103679,0,0,0,0,0,0,0,0,0
51,3/31/2022 0:00:00,32,0,577561206,32392799,78460647,0,0,0,0,0,0,0,4208814,4208814,0,0,0,0,0,0,68507948,766379222,484263542,79113003,0,1398263716,165381607,211916803,31826820,1144742,0,410269972,0,-105667775,0,0,0,0,0,0,0,0,0,0,0,5298833932,19,1611444,1611444,0,0,0,19,1611444,,0,5587845522,0,0,0,0,0,0,0,0,0,0,0,13786690,0,-1691173,0,0,0,0,0,0,0
53,3/31/2022 0:00:00,33,0,0,860590,0,0,0,0,0,0,0,0,1972412,1972412,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,1000000,0,0,2500000,0,-27588,0,0,0,0,0,0,0,0,0,0,0,71292041,0,0,0,0,0,0,0,0,,0,74810405,0,0,0,0,0,0,0,0,0,0,0,224914,0,0,0,0,0,0,0,0,0
60,3/31/2022 0:00:00,35,0,24218981,1362888,1646276,0,0,0,0,0,0,0,601475,601475,0,0,0,0,0,0,6499602,43202986,42815354,18597353,0,111115295,0,0,0,0,0,0,0,-4053598,0,0,0,0,0,0,0,0,0,0,0,401215084,0,0,0,0,0,0,0,0,,0,439072553,0,0,0,0,0,0,0,0,0,0,0,1221777,0,0,0,168,2269605,0,0,0,0
62,3/31/2022 0:00:00,36,0,0,423707,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30396135,0,0,0,0,0,0,0,0,,0,35542219,0,0,0,0,0,0,0,0,0,0,0,23817,0,0,0,0,0,0,0,0,0
75,3/31/2022 0:00:00,40,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,625375,0,1125375,0,0,0,0,0,0,0,0,0,0,0,0,0,1706236,0,0,0,0,0,0,0,0,,0,2291312,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0
77,3/31/2022 0:00:00,41,0,23920838,1832312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19819,2145651,17384668,14032824,0,33582962,0,0,0,0,0,0,0,-2028100,0,0,0,0,0,0,0,0,0,0,0,212341709,0,0,0,0,0,0,0,0,,0,224862144,0,0,0,0,0,0,0,0,0,0,0,521996,0,0,0,1,500000,0,0,0,0
79,3/31/2022 0:00:00,43,0,80618057,4363067,1771996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28651471,29917454,48096905,78492236,11852860,197010926,0,0,0,0,0,0,0,-9675733,0,0,0,0,0,0,0,0,0,0,0,793727750,0,0,0,0,0,0,0,0,,0,859157836,0,0,0,0,0,0,0,0,0,0,0,1963240,0,0,0,26,462336,0,0,0,0
82,3/31/2022 0:00:00,46,0,80399180,1002522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1158062,4754001,0,0,0,5912063,0,0,0,0,0,0,0,-75717,0,0,0,0,0,0,0,0,0,0,0,278861357,3,90600,90600,0,0,0,3,90600,,0,305969135,0,0,0,0,0,0,0,0,0,0,0,291494,0,0,0,0,0,0,0,0,0
90,3/31/2022 0:00:00,49,0,0,2091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050113,0,0,0,0,0,0,0,0,,0,10169250,0,0,0,0,0,0,0,0,0,0,0,1786,0,0,0,0,0,0,0,0,0
98,3/31/2022 0:00:00,54,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1830000,7000000,0,0,0,8830000,0,0,0,0,0,0,0,0,0,0,0,0,0,12613586,0,0,0,0,0,0,0,0,,0,14568970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,3/31/2022 0:00:00,57,0,0,747403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65171364,0,0,0,0,0,0,0,0,,0,76137597,0,0,0,0,0,0,0,0,0,0,0,89075,0,0,0,0,0,0,0,0,0
108,3/31/2022 0:00:00,58,0,0,725846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400000,1400000,0,0,0,0,0,0,0,0,0,0,0,0,0,37311600,0,0,0,0,0,0,0,0,,0,45675159,0,0,0,0,0,0,0,0,0,0,0,7715,0,0,0,0,0,0,0,0,0
110,3/31/2022 0:00:00,59,0,0,23155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27987144,0,0,0,0,0,0,0,0,,0,32819362,0,0,0,0,0,0,0,0,0,0,0,11737,0,0,0,0,0,0,0,0,0
119,3/31/2022 0:00:00,62,0,354262,369915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8425739,18813159,19347509,43283020,1783571,91652998,995000,1496000,996000,747000,0,4234000,0,-5430934,0,0,0,0,0,0,0,0,0,0,0,105119807,0,0,0,0,0,0,0,0,,0,121165892,0,0,0,0,0,0,0,0,0,0,0,125780,0,0,0,0,0,0,0,0,0
120,3/31/2022 0:00:00,63,0,0,656915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11436000,25917930,25159000,0,0,62512930,0,0,0,0,0,0,0,0,0,0,0,0,0,121808153,0,0,0,0,0,0,0,0,,0,130933155,0,0,0,0,0,0,0,0,0,0,0,166301,0,0,0,0,0,1,2575318,0,0
132,3/31/2022 0:00:00,69,0,0,3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963582,0,0,0,0,0,0,0,0,,0,1146165,0,0,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,0,0,0,0,0
135,3/31/2022 0:00:00,70,0,0,848173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77283251,0,0,0,0,0,0,0,0,,0,84594345,0,0,0,0,0,0,0,0,0,0,0,118405,0,0,0,0,0,0,0,0,0
138,3/31/2022 0:00:00,72,0,0,971201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846960,6671488,3089404,0,0,11607852,0,0,0,0,0,0,0,-345148,0,0,0,0,0,0,0,0,0,0,0,42556838,0,0,0,0,0,0,0,0,,0,45166927,0,0,0,0,0,0,0,0,0,0,0,93696,0,0,0,0,0,70,2105218,0,0
146,3/31/2022 0:00:00,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5861213,0,0,0,0,0,0,0,0,,0,6305675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,3/31/2022 0:00:00,75,0,0,0,0,1,0,5488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1484545,0,0,0,0,0,0,0,0,Fiscal Year 2020,0,1622144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,3/31/2022 0:00:00,77,0,44004757,9384264,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37956762,1831380,9844574,26858575,930891,77422182,6369135,2470287,129497,0,0,8968919,0,-3699926,0,0,0,0,0,0,0,0,0,0,0,405156672,0,0,0,0,0,0,0,0,,0,437077105,0,0,0,0,0,0,0,0,0,0,0,422788,0,0,51000,81,1278580,0,0,0,0
151,3/31/2022 0:00:00,78,0,84599401,3729211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30362665,19600521,19413242,51489410,21305839,142171677,0,0,0,0,0,0,0,-9709517,0,0,0,0,0,0,0,0,0,0,0,837925528,0,0,0,0,0,0,0,0,,0,937567318,0,0,0,0,0,0,0,0,0,0,0,1686154,0,0,0,0,0,0,0,0,0
153,3/31/2022 0:00:00,80,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385138,0,0,0,0,0,0,0,0,,0,482743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,3/31/2022 0:00:00,83,0,8254740,12507161,0,0,0,0,0,0,0,0,18618780,18618780,0,0,0,0,0,0,57229652,33324010,48633991,156241465,79649893,375079011,0,0,0,0,0,0,0,-19165983,0,0,0,0,0,0,0,0,0,0,0,1744773960,3,236353,236353,0,0,0,3,236353,,0,1969523098,265154,1300266,0,0,0,0,0,0,0,0,0,6521988,0,-7041,-523888,1407,44031811,3,2642531,0,0
162,3/31/2022 0:00:00,85,0,38565298,621468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,9700000,850000,8550000,19350000,0,0,0,0,0,0,0,0,0,0,0,0,0,180495421,0,0,0,0,0,0,0,0,,0,194484125,0,0,0,0,0,0,0,0,0,0,0,267841,0,0,0,0,0,3,644092,0,0
