"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
1,3/31/2022 0:00:00,2,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,1500000,0,0,0,0,0,2698,0,0,0,2698,1500000,2698,0,0,0,1502698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150397,20309,0,0,20309,0,0,0,88864,1081842,0,1081842,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2022 0:00:00,7,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13924748,13233903,0,0,0,0,0,0,13924748,13233903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22871000,21627342,0,0,0,0,0,36795748,34861245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347027,248000,0,0,595027,0,0,34861245,0,0,381008,0,0,0,381008,753802,11184635,15125028,8773815,0,35837280,0,272,0,272,0,2938004,0,3566987,0,0,0,0,1081463,136514,0,0,0,0,0,0,1475016,38112,0,0,19483119,2281136,0,0,2281136,0,0,0,2006719,19757536,0,19757536,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2022 0:00:00,11,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4415353,4271160,0,0,246240,240588,0,0,0,0,0,0,246240,240588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248000,248000,0,0,4909593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7463000,7958000,2976000,0,0,18397000,0,0,0,4909593,0,62443,0,0,0,62443,7711000,10024032,5634004,0,0,23369036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5026770,669018,0,0,669018,0,0,0,588158,5107630,0,5107630,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2022 0:00:00,12,WISe,0,0,0,54252475,0,0,0,0,0,0,0,0,0,0,235703326,0,0,0,20000000,61077000,0,0,0,0,0,0,20000000,0,25000000,0,0,0,0,0,0,0,0,0,0,709321,696050,0,0,709321,696050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709321,696050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,100000,0,0,696050,0,2023200,247900,0,0,0,2271100,2142335,835841,88974,0,0,3067150,0,0,0,0,0,0,0,0,0,0,29017,0,0,0,0,0,0,0,0,0,0,0,0,0,66796678,1262266,0,0,1262266,0,0,0,5484332,62574612,0,62574612,0,0,0,0,0,0,0,0,0,0,0,0,0
16,3/31/2022 0:00:00,14,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970000,1839293,2000000,545000,0,5354293,0,0,0,0,40341,0,0,0,0,40341,1010341,1839293,2000000,545000,0,5394634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244741,49261,0,0,49261,0,0,0,85463,1208539,0,1208539,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2022 0:00:00,16,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7408000,7408000,0,0,7408000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744218,245000,245000,0,0,1234218,0,0,0,7408000,2857,0,0,0,0,2857,5148075,1797000,1700000,0,0,8645075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2799152,17000,0,0,17000,0,0,0,71499,2744653,0,2744653,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2022 0:00:00,17,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6807354,0,0,0,4886680,0,0,0,0,0,0,0,0,0,0,0,19155268,18258895,0,0,19155268,18258895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19155268,18258895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298676,2298676,2298676,36038200,996000,0,0,0,37034200,2298676,0,18258895,0,15000000,47900,0,0,0,15047900,55932055,4242789,4893813,7571014,0,72639671,0,0,0,0,0,0,0,0,21910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40086502,1241013,0,0,1241013,0,0,0,2456820,38870695,0,38870695,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2022 0:00:00,19,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025000,4264000,4217000,0,0,12506000,0,0,0,0,111464,0,0,0,0,111464,4136464,4264000,4217000,0,0,12617464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930373,14635,0,0,14635,0,0,0,160280,1784728,0,1784728,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2022 0:00:00,21,WISe,0,0,0,2540793,0,0,0,0,0,0,0,0,0,0,0,0,0,247272512,0,0,0,0,0,0,0,0,0,0,61267549,0,0,0,0,0,0,0,0,0,0,75697578,71112538,0,0,75697578,71112538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75697578,71112538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71112538,0,0,0,10862159,0,0,10862159,0,7315211,31576013,37504903,5578570,81974697,0,0,0,0,0,13546374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92088671,7335285,0,0,7335285,0,0,0,8006993,91416963,0,91416963,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3/31/2022 0:00:00,29,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600000,6600000,0,0,0,0,0,0,6600000,6600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22997000,20246000,3623000,0,0,46866000,0,0,0,6600000,0,0,0,0,66000,66000,23597000,22946000,6923000,0,66000,53532000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11649945,460526,0,0,460526,0,0,0,1234540,10875931,0,10875931,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3/31/2022 0:00:00,30,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3567000,6899000,12776000,249000,0,23491000,0,0,0,0,0,0,0,0,0,0,3567000,6899000,12776000,249000,0,23491000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6015609,85090,0,0,85090,0,0,0,443344,5657355,0,5657355,0,0,0,0,0,0,0,0,0,0,0,0,0
48,3/31/2022 0:00:00,31,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9309000,8883523,0,0,0,0,0,0,9309000,8883523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991000,1885768,0,0,0,0,0,0,11300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8476000,8246000,3439000,0,0,20161000,0,0,0,11300000,0,0,0,0,155000,155000,8476000,14496000,8489000,0,155000,31616000,0,0,0,0,0,0,0,0,141216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13532305,281430,0,0,281430,0,0,0,515904,13297831,0,13297831,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3/31/2022 0:00:00,32,WISe,0,0,0,22438667,0,79329397,0,0,0,0,0,0,0,0,8011920,0,0,0,0,0,0,0,0,0,0,0,0,174331220,1184268,60144266,58999200,148407324,143666690,47010527,47147189,23653367,23366369,303115179,297318669,1270563507,1170035711,350125706,344465858,1294216874,1193402080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15370433,15308539,0,0,0,0,0,0,2162630,2160048,0,0,17533063,17468587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43774229,43726359,0,0,0,0,410269972,1503931490,1398263716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4208814,0,0,4208814,4208814,0,0,0,0,0,0,4208814,0,1398263715,410269972,0,4315594,0,0,0,4315594,233889555,982611619,516090362,80257745,4208814,1817058095,0,0,-1691173,-1691173,0,25759845,0,0,0,0,0,0,0,0,0,0,8000000,0,0,0,0,0,4787,0,394679365,36812088,0,0,36812088,0,0,0,50261201,381230252,0,381230252,0,695288971,610534126,6294197,78460648,0,1812742502,736162457,1028644872,0,43726359,4208814,0
53,3/31/2022 0:00:00,33,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500000,2458335,0,0,0,0,0,0,2500000,2458335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20454000,0,0,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1972412,1972412,1972412,16286000,4168000,0,0,0,20454000,1972412,0,0,2500000,0,80000,0,0,0,80000,16286000,5748000,1000000,0,1972412,25006412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4648046,233951,0,0,233951,0,0,0,623269,4258728,0,4258728,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3/31/2022 0:00:00,35,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39727815,0,68064867,0,0,0,59082374,0,0,0,0,0,0,0,48263784,47157516,0,0,12500262,11924858,0,0,52668848,50291494,0,0,65169110,62216352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66660000,66665427,0,0,0,0,0,180092894,176039295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601475,601475,601475,28274000,31332000,5473000,0,0,65079000,601475,0,111115295,0,0,2571400,0,0,179536,2750936,34773602,77106386,48288354,18597353,781011,179546706,0,0,0,0,0,0,0,0,0,0,0,0,730605,347764,0,0,1539000,0,0,0,0,0,0,0,46550037,1588078,0,0,1588078,0,0,0,3455220,44682895,0,44682895,0,0,0,0,0,0,0,0,0,0,0,0,0
