"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008"
1,3/31/2022 0:00:00,2,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,2698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8510200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20309,20309,8489891,0,-20309,-20309,0,0,0,0,0,138089,0,88864,88864,0,0,0,0,0,0,0,11610842,68555,68555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11610842,0,0,20309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10457145,10457145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3/31/2022 0:00:00,7,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,35242253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125394697,0,0,0,0,0,0,0,1678765,0,0,0,0,0,0,0,0,2281136,2281136,152371627,0,-2281136,-2281136,0,0,0,0,0,13810674,0,2006719,2006719,0,0,0,0,0,0,0,247196275,-274417,-274417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247196275,0,0,2281136,85,13252366,847000,100,6687962,245200,7,708659,0,11,560497,134750,0,0,0,21209484,1226950,78,3088526,55000,0,0,0,0,0,0,67,3281291,211200,6369817,266200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,27579301,1493150,4774704,220312997,225272997,4960000,1922,6044018,0,0,1,136514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,3/31/2022 0:00:00,11,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,4972036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18168876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669018,669018,22807099,0,-669018,-669018,0,0,0,0,0,9547355,0,588158,588158,0,0,0,0,0,0,0,64463874,-80860,-80860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64463874,0,0,669018,7,823652,0,73,3299254,282072,0,0,0,0,0,0,2,37638,0,4160544,282072,0,0,0,37,921313,49807,0,0,0,10,225384,0,1146697,49807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,5307241,331879,0,61299657,61299657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3/31/2022 0:00:00,12,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,2967150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501382967,0,0,0,0,0,0,0,1150247,0,0,0,0,0,0,0,0,1262266,1262266,664936300,0,-1262266,-1262266,0,0,0,0,0,25102214,0,5484332,5484332,0,0,0,0,0,0,0,777639035,4222066,4222066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777639035,0,0,1262266,215,41546390,6475310,606,62618596,7048571,0,0,0,48,10760649,84000,351,17531928,2197991,132457563,15805872,0,0,0,0,0,0,0,0,0,811,31207789,4989963,31207789,4989963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2031,163665352,20795835,63946294,640490657,681969657,41479000,3,1117397,0,0,8,1751353,8,0,1,97484,254,0,0,0,0,1,90648927,1165,0,0,0,0,0
16,3/31/2022 0:00:00,14,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49261,49261,3381949,0,-49261,-49261,0,0,0,0,0,136047,0,85463,85463,0,0,0,0,0,0,0,10481033,36202,36202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10481033,0,0,49261,0,0,0,0,0,0,0,0,0,14,1235481,0,0,0,0,1235481,0,12,358256,0,9,194217,3100,0,0,0,0,0,0,552473,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1787954,3100,1787954,9241368,9241368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,3/31/2022 0:00:00,16,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,7410857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1185013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,17000,1168013,0,-17000,-17000,0,0,0,0,0,80084,0,71499,71499,0,0,0,0,0,0,0,10622627,54499,54499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10622627,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8040054,8040054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2022 0:00:00,17,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,35605471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102039544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241013,1241013,216409576,0,-1241013,-1241013,0,0,0,0,0,7953238,0,2456820,2456820,0,0,0,0,0,0,0,318369485,1215807,1215807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318369485,0,0,1241013,22,5486663,944400,44,6603181,812500,0,0,0,0,0,0,6,890868,0,12980712,1756900,851,67194579,3489080,0,0,0,0,0,0,1162,35435754,6571204,102630333,10060284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2085,115611045,11817184,54075872,277280407,277280407,0,14,21910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,3/31/2022 0:00:00,19,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14635,14635,5405669,0,-14635,-14635,0,0,0,0,0,360055,0,160280,160280,0,0,0,0,0,0,0,19563073,145645,145645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19563073,0,0,14635,24,1178893,0,0,0,0,0,0,0,0,0,0,0,0,0,1178893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1178893,0,0,17480043,17480043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2022 0:00:00,21,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,81974697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420273487,0,0,0,0,0,0,0,68361783,0,0,0,0,0,0,-1847850,0,7335285,7335285,857870608,-1847850,-7335285,-7335285,0,0,0,0,0,106939941,0,8006993,8006993,0,0,0,0,0,0,0,1062581325,671708,671708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062581325,0,0,7335285,1011,181386369,20577337,1051,94661953,5165990,11,1280918,0,0,0,0,89,21494965,5390024,298824205,31133351,1082,40001583,4032251,0,0,0,0,0,0,1330,35896985,11608888,75898568,15641139,2,48236,0,9,222600,0,0,0,0,0,0,0,270836,0,4585,374993609,46774490,69338023,899529857,899529857,0,7,10320792,0,0,51,8793239,51,0,51,8793239,3215,0,0,0,0,1,58802412,553,0,0,0,0,0
42,3/31/2022 0:00:00,29,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,6666000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26973364,0,0,0,0,0,0,0,286565,0,0,0,0,0,0,0,0,460526,460526,66905839,0,-460526,-460526,0,0,0,0,0,4736210,0,1234540,1234540,0,0,0,0,0,0,0,144714941,774014,774014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144714941,0,0,460526,59,9746609,747150,148,14355870,1743500,0,0,0,0,0,0,3,435380,0,24537859,2490650,87,3024266,642445,57,2955147,0,0,0,0,341,9589164,1267500,15568577,1909945,4,172629,0,0,0,0,0,0,0,0,0,0,172629,0,699,40279065,4400595,9115201,132505975,132505975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
